TIME s, IN1, IN2
2.5, 1.010715, 2.369223
2.495, 0.993584, 3.912964
2.49, 0.976453, 4.428405
2.485, 0.965033, 4.588592
2.48, 0.947902, 4.635098
2.476, 0.930771, 4.601511
2.471, 0.913641, 4.472327
2.466, 0.90222, 4.325058
2.461, 0.885089, 4.216544
2.456, 0.862248, 4.062816
2.451, 0.850828, 3.867749
2.446, 0.833697, 3.738566
2.441, 0.822277, 3.596464
2.437, 0.805146, 3.397522
2.432, 0.788015, 3.250253
2.427, 0.770884, 3.140447
2.422, 0.759464, 2.964758
2.417, 0.742333, 2.809738
2.412, 0.725202, 2.710267
2.407, 0.708071, 2.587543
2.402, 0.696651, 2.418312
2.397, 0.67952, 2.308506
2.393, 0.6681, 2.223245
2.388, 0.650969, 2.073393
2.383, 0.639548, 1.959711
2.378, 0.616707, 1.889952
2.373, 0.605287, 1.777563
2.368, 0.588156, 1.657422
2.363, 0.571025, 1.581204
2.358, 0.553895, 1.503694
2.354, 0.536764, 1.390013
2.349, 0.525343, 1.306044
2.344, 0.508213, 1.25437
2.339, 0.496792, 1.169109
2.334, 0.473951, 1.074805
2.329, 0.462531, 1.033467
2.324, 0.4454, 0.966291
2.319, 0.428269, 0.874571
2.314, 0.416849, 0.816439
2.31, 0.399718, 0.784143
2.305, 0.382587, 0.705341
2.3, 0.365456, 0.638166
2.295, 0.354036, 0.616205
2.29, 0.336905, 0.568407
2.285, 0.325484, 0.489605
2.28, 0.302643, 0.458601
2.275, 0.291223, 0.435348
2.271, 0.279802, 0.364297
2.266, 0.262672, 0.316499
2.261, 0.251251, 0.311332
2.256, 0.22841, 0.26741
2.251, 0.21699, 0.209277
2.246, 0.199859, 0.195067
2.241, 0.182728, 0.170522
2.236, 0.171308, 0.11239
2.231, 0.154177, 0.078802
2.227, 0.137046, 0.081386
2.222, 0.119915, 0.041339
2.217, 0.102785, -0.01421
2.212, 0.085654, -0.005167
2.207, 0.074233, -0.027129
2.202, 0.057103, -0.083969
2.197, 0.045682, -0.095596
2.192, 0.028551, -0.089137
2.188, 0.011421, -0.142102
2.183, -0.00571, -0.167938
2.178, -0.017131, -0.153728
2.173, -0.039972, -0.173106
2.168, -0.051392, -0.217028
2.163, -0.068523, -0.21832
2.158, -0.079944, -0.215736
2.153, -0.097074, -0.263534
2.148, -0.108495, -0.280328
2.144, -0.131336, -0.26095
2.139, -0.148467, -0.293246
2.134, -0.159887, -0.325542
2.129, -0.177018, -0.311332
2.124, -0.194149, -0.317791
2.119, -0.211279, -0.360422
2.114, -0.2227, -0.368173
2.109, -0.23412, -0.348795
2.104, -0.251251, -0.386258
2.1, -0.262672, -0.406928
2.095, -0.279802, -0.384966
2.09, -0.302643, -0.391426
2.085, -0.314064, -0.428889
2.08, -0.331195, -0.425013
2.075, -0.354036, -0.409511
2.07, -0.365456, -0.446974
2.065, -0.376877, -0.459893
2.061, -0.394008, -0.431472
2.056, -0.416849, -0.446974
2.051, -0.422559, -0.47927
2.046, -0.4454, -0.458601
2.041, -0.45682, -0.461185
2.036, -0.473951, -0.497356
2.031, -0.485372, -0.498648
2.026, -0.496792, -0.476687
2.021, -0.513923, -0.49994
2.017, -0.531054, -0.524484
2.012, -0.548184, -0.498648
2.007, -0.571025, -0.501231
2.002, -0.576736, -0.536111
1.997, -0.599577, -0.530944
1.992, -0.610997, -0.508982
1.987, -0.628128, -0.54257
1.982, -0.639548, -0.552905
1.978, -0.662389, -0.525776
1.973, -0.67381, -0.534819
1.968, -0.690941, -0.564531
1.963, -0.702361, -0.546446
1.958, -0.719492, -0.536111
1.953, -0.730912, -0.57099
1.948, -0.748043, -0.574866
1.943, -0.765174, -0.545154
1.938, -0.782305, -0.565823
1.934, -0.793725, -0.590368
1.929, -0.810856, -0.560656
1.924, -0.822277, -0.559364
1.919, -0.845118, -0.59166
1.914, -0.862248, -0.587784
1.909, -0.873669, -0.560656
1.904, -0.89651, -0.592952
1.899, -0.90222, -0.601994
1.895, -0.925061, -0.573574
1.89, -0.936482, -0.57745
1.885, -0.953612, -0.60587
1.88, -0.965033, -0.595535
1.875, -0.987874, -0.576158
