TIME s, IN1, IN2
2.5, 1.005005, 2.264584
2.495, 0.993584, 3.972388
2.49, 0.976453, 4.491705
2.485, 0.965033, 4.653184
2.48, 0.947902, 4.697106
2.476, 0.930771, 4.63639
2.471, 0.913641, 4.500748
2.466, 0.90222, 4.356062
2.461, 0.885089, 4.23463
2.456, 0.873669, 4.067984
2.451, 0.856538, 3.8755
2.446, 0.839407, 3.748901
2.441, 0.822277, 3.595172
2.437, 0.805146, 3.398814
2.432, 0.793725, 3.259296
2.427, 0.776595, 3.137864
2.422, 0.759464, 2.949256
2.417, 0.742333, 2.808446
2.412, 0.730912, 2.705099
2.407, 0.713782, 2.572041
2.402, 0.702361, 2.410561
2.397, 0.68523, 2.31109
2.393, 0.6681, 2.20516
2.388, 0.656679, 2.052723
2.383, 0.639548, 1.946793
2.378, 0.622418, 1.875742
2.373, 0.605287, 1.747851
2.368, 0.588156, 1.635461
2.363, 0.571025, 1.576037
2.358, 0.559605, 1.477857
2.354, 0.536764, 1.36676
2.349, 0.525343, 1.294417
2.344, 0.513923, 1.232409
2.339, 0.496792, 1.130354
2.334, 0.479661, 1.055428
2.329, 0.462531, 1.016673
2.324, 0.4454, 0.939163
2.319, 0.433979, 0.853902
2.314, 0.416849, 0.80998
2.31, 0.405428, 0.76089
2.305, 0.382587, 0.676921
2.3, 0.376877, 0.62008
2.295, 0.354036, 0.595535
2.29, 0.342615, 0.534819
2.285, 0.325484, 0.467644
2.28, 0.308354, 0.446974
2.275, 0.296933, 0.405636
2.271, 0.279802, 0.334585
2.266, 0.262672, 0.299705
2.261, 0.251251, 0.285495
2.256, 0.23412, 0.226071
2.251, 0.21699, 0.178273
2.246, 0.199859, 0.174398
2.241, 0.188438, 0.139518
2.236, 0.171308, 0.082677
2.231, 0.159887, 0.068467
2.227, 0.137046, 0.058133
2.222, 0.125626, 0
2.217, 0.108495, -0.029712
2.212, 0.091364, -0.024545
2.207, 0.079944, -0.056841
2.202, 0.057103, -0.104639
2.197, 0.045682, -0.098179
2.192, 0.028551, -0.116265
2.188, 0.011421, -0.167938
2.183, 0, -0.182149
2.178, -0.017131, -0.175689
2.173, -0.034262, -0.209277
2.168, -0.045682, -0.245448
2.163, -0.062813, -0.229946
2.158, -0.079944, -0.24674
2.153, -0.097074, -0.293246
2.148, -0.108495, -0.293246
2.144, -0.125626, -0.284203
2.139, -0.142756, -0.329418
2.134, -0.159887, -0.346211
2.129, -0.177018, -0.328126
2.124, -0.188438, -0.350087
2.119, -0.205569, -0.381091
2.114, -0.21699, -0.369464
2.109, -0.23412, -0.37334
2.104, -0.251251, -0.409511
2.1, -0.262672, -0.419846
2.095, -0.279802, -0.397885
2.09, -0.302643, -0.427597
2.085, -0.314064, -0.449558
2.08, -0.331195, -0.427597
2.075, -0.348325, -0.435348
2.07, -0.365456, -0.471519
2.065, -0.382587, -0.470227
2.061, -0.394008, -0.452142
2.056, -0.405428, -0.488313
2.051, -0.422559, -0.498648
2.046, -0.43969, -0.474103
2.041, -0.45682, -0.485729
2.036, -0.473951, -0.515442
2.031, -0.485372, -0.49994
2.026, -0.502502, -0.497356
2.021, -0.513923, -0.532235
2.017, -0.531054, -0.536111
2.012, -0.548184, -0.511566
2.007, -0.559605, -0.532235
2.002, -0.576736, -0.554197
1.997, -0.593866, -0.529652
1.992, -0.610997, -0.532235
1.987, -0.628128, -0.561948
1.982, -0.639548, -0.558072
1.978, -0.656679, -0.538695
1.973, -0.67381, -0.568407
1.968, -0.690941, -0.580033
1.963, -0.702361, -0.555488
1.958, -0.719492, -0.561948
1.953, -0.730912, -0.589076
1.948, -0.748043, -0.574866
1.943, -0.765174, -0.561948
1.938, -0.782305, -0.598119
1.934, -0.793725, -0.600703
1.929, -0.810856, -0.572282
1.924, -0.827987, -0.585201
1.919, -0.845118, -0.611037
