TIME s, IN1, IN2
2.5, 1.010715, 2.530702
2.495, 0.987874, 4.126116
2.49, 0.976453, 4.592468
2.485, 0.959323, 4.756531
2.48, 0.942192, 4.784951
2.476, 0.925061, 4.676437
2.471, 0.913641, 4.552421
2.466, 0.90222, 4.430989
2.461, 0.879379, 4.274677
2.456, 0.862248, 4.092528
2.451, 0.850828, 3.937508
2.446, 0.827987, 3.787656
2.441, 0.822277, 3.601632
2.437, 0.799435, 3.427234
2.432, 0.793725, 3.307094
2.427, 0.770884, 3.14949
2.422, 0.759464, 2.968633
2.417, 0.742333, 2.861411
2.412, 0.725202, 2.728352
2.407, 0.708071, 2.572041
2.402, 0.696651, 2.43769
2.397, 0.67952, 2.344678
2.393, 0.6681, 2.20516
2.388, 0.650969, 2.070809
2.383, 0.633838, 1.995883
2.378, 0.616707, 1.892536
2.373, 0.599577, 1.75431
2.368, 0.588156, 1.672924
2.363, 0.565315, 1.601874
2.358, 0.553895, 1.473982
2.354, 0.536764, 1.386137
2.349, 0.525343, 1.337048
2.344, 0.508213, 1.236285
2.339, 0.491082, 1.140689
2.334, 0.473951, 1.098058
2.329, 0.462531, 1.03605
2.324, 0.43969, 0.931412
2.319, 0.433979, 0.873279
2.314, 0.416849, 0.840984
2.31, 0.399718, 0.755723
2.305, 0.382587, 0.687255
2.3, 0.359746, 0.665294
2.295, 0.348325, 0.609745
2.29, 0.331195, 0.533527
2.285, 0.319774, 0.496064
2.28, 0.302643, 0.471519
2.275, 0.291223, 0.399177
2.271, 0.274092, 0.351379
2.266, 0.256961, 0.343628
2.261, 0.245541, 0.294538
2.256, 0.22841, 0.236406
2.251, 0.21699, 0.222195
2.246, 0.194149, 0.193775
2.241, 0.182728, 0.135643
2.236, 0.171308, 0.102055
2.231, 0.148467, 0.100763
2.227, 0.137046, 0.059424
2.222, 0.119915, 0.011627
2.217, 0.102785, 0.015502
2.212, 0.085654, -0.006459
2.207, 0.074233, -0.060716
2.202, 0.051392, -0.07751
2.197, 0.045682, -0.073635
2.192, 0.022841, -0.124016
2.188, 0.011421, -0.151145
2.183, -0.00571, -0.139518
2.178, -0.017131, -0.161479
2.173, -0.034262, -0.20411
2.168, -0.051392, -0.20411
2.163, -0.068523, -0.205402
2.158, -0.079944, -0.250616
2.153, -0.097074, -0.268701
2.148, -0.108495, -0.250616
2.144, -0.131336, -0.275161
2.139, -0.142756, -0.316499
2.134, -0.159887, -0.299705
2.129, -0.177018, -0.307456
2.124, -0.194149, -0.353962
2.119, -0.211279, -0.357838
2.114, -0.2227, -0.339752
2.109, -0.23412, -0.379799
