TIME s, IN1, IN2
2.5, -2.569614, -0.594243
2.495, 0.993584, 3.934925
2.49, 0.976453, 4.542086
2.485, 0.965033, 4.719068
2.48, 0.947902, 4.739737
2.476, 0.936482, 4.707441
2.471, 0.919351, 4.595052
2.466, 0.90222, 4.419362
2.461, 0.885089, 4.296638
2.456, 0.867959, 4.150661
2.451, 0.850828, 3.947843
2.446, 0.833697, 3.788947
2.441, 0.822277, 3.661056
2.437, 0.805146, 3.467281
2.432, 0.793725, 3.307094
2.427, 0.770884, 3.186953
2.422, 0.759464, 3.030641
2.417, 0.742333, 2.865287
2.412, 0.730912, 2.737395
2.407, 0.708071, 2.632756
2.402, 0.696651, 2.467402
2.397, 0.68523, 2.336927
2.393, 0.6681, 2.249082
2.388, 0.650969, 2.122482
2.383, 0.633838, 1.992007
2.378, 0.622418, 1.908038
2.373, 0.605287, 1.807275
2.368, 0.588156, 1.684551
2.363, 0.571025, 1.587663
2.358, 0.559605, 1.519196
2.354, 0.536764, 1.421017
2.349, 0.531054, 1.321546
2.344, 0.513923, 1.260829
2.339, 0.491082, 1.192362
2.334, 0.479661, 1.091599
2.329, 0.462531, 1.025716
2.324, 0.45111, 0.983085
2.319, 0.433979, 0.895241
2.314, 0.416849, 0.825482
2.31, 0.399718, 0.78931
2.305, 0.382587, 0.733761
2.3, 0.371166, 0.657543
2.295, 0.354036, 0.616205
2.29, 0.336905, 0.580033
2.285, 0.319774, 0.507691
2.28, 0.302643, 0.45085
2.275, 0.291223, 0.43664
2.271, 0.279802, 0.390134
2.266, 0.262672, 0.319083
2.261, 0.245541, 0.31004
2.256, 0.22841, 0.280328
2.251, 0.21699, 0.219612
2.246, 0.194149, 0.180857
2.241, 0.182728, 0.174398
2.236, 0.171308, 0.125308
2.231, 0.154177, 0.078802
2.227, 0.137046, 0.07751
2.222, 0.119915, 0.055549
2.217, 0.108495, 0
2.212, 0.091364, -0.016794
2.207, 0.074233, -0.019378
2.202, 0.057103, -0.071051
2.197, 0.045682, -0.098179
2.192, 0.028551, -0.089137
2.188, 0.011421, -0.118849
2.183, -0.00571, -0.158896
2.178, -0.017131, -0.156312
2.173, -0.034262, -0.165355
2.168, -0.051392, -0.213153
2.163, -0.068523, -0.231238
2.158, -0.079944, -0.21832
2.153, -0.097074, -0.251908
2.148, -0.108495, -0.28162
2.144, -0.131336, -0.269993
2.139, -0.142756, -0.275161
2.134, -0.159887, -0.319083
2.129, -0.177018, -0.326834
2.124, -0.194149, -0.312624
2.119, -0.211279, -0.350087
2.114, -0.2227, -0.368173
2.109, -0.23412, -0.350087
2.104, -0.251251, -0.361713
2.1, -0.262672, -0.394009
2.095, -0.285513, -0.394009
