TIME s, IN1, IN2
2.5, 1.005005, 2.431231
2.495, 0.987874, 3.865166
2.49, 0.970743, 4.378024
2.485, 0.953612, 4.539503
2.48, 0.942192, 4.57955
2.476, 0.925061, 4.556297
2.471, 0.913641, 4.446491
2.466, 0.89651, 4.286304
2.461, 0.879379, 4.179081
2.456, 0.862248, 4.035687
2.451, 0.845118, 3.838037
2.446, 0.833697, 3.694644
2.441, 0.816566, 3.569336
2.437, 0.799435, 3.374269
2.432, 0.788015, 3.223125
2.427, 0.770884, 3.110735
2.422, 0.753753, 2.950548
2.417, 0.736623, 2.794236
2.412, 0.725202, 2.676679
2.407, 0.708071, 2.566873
2.402, 0.690941, 2.400227
2.397, 0.67952, 2.28267
2.393, 0.6681, 2.198701
2.388, 0.645259, 2.061766
2.383, 0.633838, 1.939042
2.378, 0.616707, 1.864116
2.373, 0.599577, 1.760769
2.368, 0.582446, 1.638045
2.363, 0.565315, 1.554076
2.358, 0.553895, 1.485608
2.354, 0.536764, 1.373219
2.349, 0.525343, 1.285374
2.344, 0.502502, 1.231117
2.339, 0.491082, 1.153607
2.334, 0.473951, 1.05672
2.329, 0.462531, 0.999879
2.324, 0.43969, 0.952081
2.319, 0.428269, 0.861653
2.314, 0.411138, 0.797061
2.31, 0.399718, 0.766057
2.305, 0.382587, 0.69759
2.3, 0.365456, 0.625247
2.295, 0.348325, 0.594243
2.29, 0.331195, 0.549029
2.285, 0.319774, 0.472811
2.28, 0.302643, 0.428889
2.275, 0.285513, 0.412095
2.271, 0.268382, 0.355254
2.266, 0.256961, 0.294538
2.261, 0.245541, 0.286787
2.256, 0.22841, 0.250616
2.251, 0.205569, 0.1899
2.246, 0.194149, 0.162771
2.241, 0.177018, 0.15502
2.236, 0.165597, 0.095596
2.231, 0.142756, 0.059424
2.227, 0.131336, 0.060716
2.222, 0.119915, 0.02842
2.217, 0.102785, -0.023253
2.212, 0.085654, -0.02842
2.207, 0.074233, -0.038755
2.202, 0.051392, -0.096888
2.197, 0.039972, -0.116265
2.192, 0.022841, -0.10593
2.188, 0.00571, -0.148561
2.183, -0.00571, -0.182149
2.178, -0.017131, -0.171814
2.173, -0.039972, -0.188608
2.168, -0.051392, -0.237697
2.163, -0.068523, -0.244157
2.158, -0.079944, -0.235114
2.153, -0.102785, -0.280328
2.148, -0.108495, -0.298414
2.144, -0.131336, -0.28162
2.139, -0.148467, -0.302289
2.134, -0.159887, -0.337169
2.129, -0.177018, -0.337169
2.124, -0.194149, -0.332001
2.119, -0.211279, -0.37334
2.114, -0.2227, -0.386258
2.109, -0.23412, -0.361713
2.104, -0.251251, -0.38755
2.1, -0.268382, -0.414679
2.095, -0.285513, -0.400468
2.09, -0.302643, -0.406928
2.085, -0.319774, -0.444391
2.08, -0.336905, -0.448266
2.075, -0.354036, -0.430181
2.07, -0.365456, -0.461185
2.065, -0.376877, -0.483146
2.061, -0.399718, -0.457309
2.056, -0.416849, -0.466352
2.051, -0.428269, -0.501231
2.046, -0.4454, -0.49348
2.041, -0.45682, -0.477978
2.036, -0.473951, -0.516733
2.031, -0.491082, -0.523193
2.026, -0.502502, -0.497356
