TIME s, IN1, IN2
2.5, -2.969332, -0.68338
2.495, 0.993584, 3.760527
2.49, 0.976453, 4.407736
2.485, 0.965033, 4.640265
2.48, 0.942192, 4.658351
2.476, 0.936482, 4.617013
2.471, 0.919351, 4.547254
2.466, 0.90222, 4.380607
2.461, 0.885089, 4.230754
2.456, 0.867959, 4.111906
2.451, 0.850828, 3.9388
2.446, 0.833697, 3.757943
2.441, 0.822277, 3.61455
2.437, 0.799435, 3.467281
2.432, 0.793725, 3.287716
2.427, 0.770884, 3.139155
2.422, 0.759464, 3.016431
2.417, 0.742333, 2.869162
2.412, 0.730912, 2.711558
2.407, 0.713782, 2.60692
2.402, 0.702361, 2.475153
2.397, 0.67952, 2.327884
2.393, 0.6681, 2.214203
2.388, 0.650969, 2.119899
2.383, 0.639548, 1.993299
2.378, 0.616707, 1.873158
2.373, 0.610997, 1.795648
2.368, 0.588156, 1.702636
2.363, 0.571025, 1.581204
2.358, 0.559605, 1.495943
2.354, 0.536764, 1.435227
2.349, 0.525343, 1.324129
2.344, 0.513923, 1.233701
2.339, 0.496792, 1.192362
2.334, 0.485372, 1.114852
2.329, 0.468241, 1.02184
2.324, 0.4454, 0.971459
2.319, 0.433979, 0.918494
2.314, 0.416849, 0.829357
2.31, 0.399718, 0.764765
2.305, 0.382587, 0.737637
2.3, 0.371166, 0.671753
2.295, 0.354036, 0.59166
2.29, 0.336905, 0.573574
2.285, 0.325484, 0.530944
2.28, 0.302643, 0.448266
2.275, 0.291223, 0.413387
2.271, 0.274092, 0.399177
2.266, 0.262672, 0.325542
2.261, 0.251251, 0.28162
2.256, 0.23412, 0.276452
2.251, 0.21699, 0.240281
2.246, 0.199859, 0.176981
2.241, 0.188438, 0.158896
2.236, 0.171308, 0.145977
2.231, 0.154177, 0.083969
2.227, 0.137046, 0.051673
2.222, 0.119915, 0.058133
2.217, 0.108495, 0.015502
2.212, 0.091364, -0.029712
2.207, 0.074233, -0.027129
2.202, 0.057103, -0.04909
2.197, 0.045682, -0.099471
2.192, 0.034262, -0.116265
2.188, 0.011421, -0.108514
2.183, -0.00571, -0.153728
2.178, -0.017131, -0.184732
2.173, -0.034262, -0.170522
2.168, -0.045682, -0.187316
2.163, -0.068523, -0.231238
2.158, -0.079944, -0.237697
2.153, -0.097074, -0.227363
2.148, -0.108495, -0.273869
2.144, -0.125626, -0.291954
