TIME s, IN1, IN2
2.5, 1.005005, 2.52941
2.495, 0.987874, 3.943968
2.49, 0.976453, 4.428405
2.485, 0.953612, 4.626056
2.48, 0.942192, 4.686772
2.476, 0.925061, 4.606678
2.471, 0.913641, 4.511082
2.466, 0.89651, 4.411611
2.461, 0.879379, 4.265634
2.456, 0.862248, 4.104155
2.451, 0.845118, 3.964637
2.446, 0.833697, 3.826411
2.441, 0.816566, 3.645554
2.437, 0.799435, 3.48795
2.432, 0.788015, 3.376853
2.427, 0.770884, 3.207623
2.422, 0.753753, 3.050019
2.417, 0.736623, 2.941505
2.412, 0.725202, 2.817489
2.407, 0.708071, 2.662469
2.402, 0.696651, 2.539745
2.397, 0.67952, 2.449316
2.393, 0.662389, 2.300755
2.388, 0.645259, 2.178031
2.383, 0.633838, 2.103105
2.378, 0.616707, 1.999758
2.373, 0.599577, 1.867991
2.368, 0.582446, 1.795648
2.363, 0.565315, 1.718138
2.358, 0.553895, 1.586372
2.354, 0.536764, 1.508861
2.349, 0.525343, 1.45848
2.344, 0.508213, 1.347382
2.339, 0.491082, 1.265997
2.334, 0.473951, 1.218199
2.329, 0.462531, 1.161358
2.324, 0.43969, 1.05672
2.319, 0.428269, 0.999879
2.314, 0.411138, 0.968875
2.31, 0.399718, 0.869404
2.305, 0.382587, 0.813855
2.3, 0.365456, 0.786727
2.295, 0.348325, 0.72601
2.29, 0.331195, 0.656251
2.285, 0.319774, 0.621372
2.28, 0.296933, 0.589076
2.275, 0.291223, 0.512858
2.271, 0.268382, 0.474103
2.266, 0.256961, 0.458601
2.261, 0.239831, 0.40176
2.256, 0.22841, 0.351379
2.251, 0.205569, 0.337169
2.246, 0.194149, 0.311332
2.241, 0.177018, 0.245448
2.236, 0.165597, 0.21832
2.231, 0.148467, 0.217028
2.227, 0.137046, 0.153728
2.222, 0.119915, 0.124016
2.217, 0.102785, 0.118849
2.212, 0.085654, 0.095596
2.207, 0.074233, 0.045214
2.202, 0.051392, 0.033588
2.197, 0.039972, 0.031004
2.192, 0.022841, -0.027129
2.188, 0.011421, -0.04909
2.183, -0.00571, -0.038755
2.178, -0.022841, -0.071051
2.173, -0.039972, -0.108514
2.168, -0.051392, -0.109806
2.163, -0.068523, -0.113681
2.158, -0.079944, -0.166647
2.153, -0.102785, -0.179565
2.148, -0.108495, -0.162771
2.144, -0.125626, -0.205402
2.139, -0.142756, -0.227363
2.134, -0.159887, -0.219612
2.129, -0.177018, -0.224779
2.124, -0.188438, -0.264826
2.119, -0.211279, -0.271285
2.114, -0.2227, -0.255783
2.109, -0.23412, -0.303581
2.104, -0.251251, -0.315207
2.1, -0.268382, -0.298414
2.095, -0.285513, -0.313916
2.09, -0.308354, -0.347503
2.085, -0.319774, -0.337169
2.08, -0.336905, -0.332001
