TIME s, IN1, IN2
2.5, 1.010715, 0.471261
2.495, 0.999294, 0.992386
2.49, 0.982164, 1.341182
2.485, 0.965033, 1.505244
2.48, 0.947902, 1.648896
2.476, 0.936482, 1.814251
2.471, 0.919351, 1.84293
2.466, 0.90793, 2.009835
2.461, 0.885089, 2.036705
2.456, 0.873669, 2.106464
2.451, 0.856538, 2.11654
2.446, 0.839407, 2.11654
2.441, 0.827987, 2.11654
2.437, 0.805146, 2.11654
2.432, 0.793725, 2.11654
2.427, 0.782305, 2.11654
2.422, 0.765174, 2.11654
2.417, 0.742333, 2.11654
2.412, 0.736623, 2.11654
2.407, 0.719492, 2.11654
2.402, 0.702361, 2.11654
2.397, 0.690941, 2.11654
2.393, 0.67381, 2.11654
2.388, 0.656679, 2.11654
2.383, 0.639548, 2.11654
2.378, 0.616707, 2.11654
2.373, 0.610997, 2.11654
2.368, 0.588156, 2.11654
2.363, 0.571025, 2.11654
2.358, 0.559605, 2.11654
2.354, 0.542474, 2.11654
2.349, 0.525343, 2.11654
2.344, 0.513923, 2.11654
2.339, 0.496792, 2.11654
2.334, 0.485372, 2.11654
2.329, 0.468241, 2.11654
2.324, 0.45111, 2.11654
2.319, 0.433979, 2.11654
2.314, 0.422559, 2.11654
2.31, 0.405428, 2.11654
2.305, 0.388297, 2.11654
2.3, 0.376877, 2.11654
2.295, 0.354036, 2.11654
2.29, 0.342615, 2.11654
2.285, 0.325484, 2.11654
2.28, 0.308354, 2.11654
2.275, 0.296933, 2.11654
2.271, 0.285513, 2.11654
2.266, 0.262672, 2.11654
2.261, 0.251251, 2.11654
2.256, 0.23412, 2.11654
2.251, 0.2227, 2.116282
2.246, 0.199859, 2.067192
2.241, 0.188438, 2.069
2.236, 0.171308, 2.019136
2.231, 0.159887, 2.010351
2.227, 0.142756, 1.987098
2.222, 0.131336, 1.941367
2.217, 0.108495, 1.948343
2.212, 0.091364, 1.897187
2.207, 0.079944, 1.887369
2.202, 0.062813, 1.855331
