TIME s, IN1, IN2
2.5, 1.005005, 1.276977
2.495, 0.982164, 2.08179
2.49, 0.970743, 2.375682
2.485, 0.953612, 2.457713
2.48, 0.942192, 2.468694
2.476, 0.919351, 2.446733
2.471, 0.90793, 2.411207
2.466, 0.89651, 2.324008
2.461, 0.879379, 2.255541
2.456, 0.862248, 2.204514
2.451, 0.845118, 2.097938
2.446, 0.833697, 2.030116
2.441, 0.816566, 1.959065
2.437, 0.799435, 1.880909
2.432, 0.788015, 1.799524
2.427, 0.770884, 1.724598
2.422, 0.753753, 1.669049
2.417, 0.736623, 1.574099
2.412, 0.725202, 1.514675
2.407, 0.708071, 1.459772
2.402, 0.690941, 1.3842
2.397, 0.67381, 1.321546
2.393, 0.662389, 1.262767
2.388, 0.645259, 1.215615
2.383, 0.633838, 1.137459
2.378, 0.616707, 1.089661
2.373, 0.593866, 1.050907
2.368, 0.582446, 0.981148
2.363, 0.565315, 0.938517
2.358, 0.553895, 0.891365
2.354, 0.536764, 0.856486
2.349, 0.525343, 0.796415
2.344, 0.502502, 0.752493
2.339, 0.491082, 0.735699
2.334, 0.473951, 0.669816
2.329, 0.462531, 0.642041
2.324, 0.43969, 0.611037
2.319, 0.428269, 0.576158
2.314, 0.411138, 0.536757
2.31, 0.399718, 0.502523
2.305, 0.382587, 0.488959
2.3, 0.365456, 0.434702
2.295, 0.348325, 0.408865
2.29, 0.331195, 0.399177
2.285, 0.319774, 0.361067
2.28, 0.302643, 0.333293
2.275, 0.291223, 0.311332
2.271, 0.268382, 0.300997
2.266, 0.256961, 0.258367
2.261, 0.245541, 0.237697
2.256, 0.22841, 0.238989
2.251, 0.211279, 0.195713
2.246, 0.194149, 0.180857
2.241, 0.177018, 0.16923
2.236, 0.165597, 0.156312
2.231, 0.148467, 0.127246
2.227, 0.131336, 0.111098
2.222, 0.114205, 0.115619
2.217, 0.102785, 0.073635
2.212, 0.085654, 0.065238
2.207, 0.068523, 0.063946
2.202, 0.051392, 0.040047
2.197, 0.039972, 0.025837
2.192, 0.022841, 0.01744
2.188, 0.00571, 0.016794
2.183, -0.011421, -0.01421
2.178, -0.022841, -0.022607
2.173, -0.039972, -0.016148
2.168, -0.057103, -0.047152
2.163, -0.068523, -0.051673
2.158, -0.079944, -0.055549
2.153, -0.097074, -0.058133
2.148, -0.114205, -0.079448
2.144, -0.131336, -0.086553
2.139, -0.148467, -0.07428
2.134, -0.159887, -0.107222
2.129, -0.177018, -0.108514
2.124, -0.194149, -0.103993
2.119, -0.211279, -0.115619
2.114, -0.2227, -0.128537
2.109, -0.239831, -0.130475
2.104, -0.256961, -0.124662
2.1, -0.274092, -0.152436
2.095, -0.285513, -0.153728
2.09, -0.308354, -0.142748
2.085, -0.319774, -0.163417
2.08, -0.336905, -0.168584
2.075, -0.354036, -0.167292
2.07, -0.365456, -0.164709
2.065, -0.382587, -0.187316
2.061, -0.399718, -0.187316
2.056, -0.416849, -0.173106
2.051, -0.428269, -0.200234
2.046, -0.4454, -0.200234
2.041, -0.462531, -0.194421
2.036, -0.479661, -0.198942
2.031, -0.491082, -0.212507
2.026, -0.502502, -0.211861
2.021, -0.519633, -0.201526
2.017, -0.536764, -0.228009
2.012, -0.553895, -0.226717
2.007, -0.571025, -0.214444
2.002, -0.582446, -0.226071
1.997, -0.599577, -0.235114
1.992, -0.610997, -0.230592
1.987, -0.628128, -0.223487
1.982, -0.645259, -0.244802
1.978, -0.662389, -0.244157
1.973, -0.67381, -0.229946
1.968, -0.696651, -0.253199
1.963, -0.708071, -0.251262
1.958, -0.725202, -0.245448
1.953, -0.742333, -0.245448
1.948, -0.753753, -0.257721
1.943, -0.770884, -0.258367
1.938, -0.788015, -0.244157
1.934, -0.799435, -0.268055
