TIME s, IN1, IN2
2.5, 1.005005, 2.488071
2.495, 0.987874, 4.092528
2.49, 0.976453, 4.569215
2.485, 0.959323, 4.739737
2.48, 0.942192, 4.783659
2.476, 0.930771, 4.690647
2.471, 0.913641, 4.570507
2.466, 0.90222, 4.450366
2.461, 0.885089, 4.305681
2.456, 0.867959, 4.119657
2.451, 0.850828, 3.962053
2.446, 0.833697, 3.831578
2.441, 0.822277, 3.641679
2.437, 0.805146, 3.468573
2.432, 0.793725, 3.352308
2.427, 0.776595, 3.202455
2.422, 0.759464, 3.019015
2.417, 0.742333, 2.904042
2.412, 0.730912, 2.785193
2.407, 0.713782, 2.623714
2.402, 0.696651, 2.488071
2.397, 0.67952, 2.400227
2.393, 0.6681, 2.272335
2.388, 0.656679, 2.128942
2.383, 0.633838, 2.047556
2.378, 0.616707, 1.955836
2.373, 0.605287, 1.812442
2.368, 0.588156, 1.725889
2.363, 0.571025, 1.666465
2.358, 0.559605, 1.53599
2.354, 0.536764, 1.449437
2.349, 0.525343, 1.396472
2.344, 0.508213, 1.309919
2.339, 0.491082, 1.214324
2.334, 0.473951, 1.152315
2.329, 0.462531, 1.107101
2.324, 0.4454, 1.001171
2.319, 0.433979, 0.936579
2.314, 0.411138, 0.908159
2.31, 0.399718, 0.829357
2.305, 0.382587, 0.755723
2.3, 0.365456, 0.727302
2.295, 0.354036, 0.680796
2.29, 0.336905, 0.598119
2.285, 0.325484, 0.554197
2.28, 0.302643, 0.537403
2.275, 0.291223, 0.463768
2.271, 0.274092, 0.41597
2.266, 0.256961, 0.400468
2.261, 0.245541, 0.363005
2.256, 0.22841, 0.297122
2.251, 0.21699, 0.272577
2.246, 0.199859, 0.264826
2.241, 0.182728, 0.197651
2.236, 0.165597, 0.165355
2.231, 0.154177, 0.161479
2.227, 0.137046, 0.127892
2.222, 0.119915, 0.07751
2.217, 0.108495, 0.069759
2.212, 0.091364, 0.055549
2.207, 0.074233, 0
2.202, 0.057103, -0.021961
2.197, 0.045682, -0.015502
2.192, 0.028551, -0.052965
2.188, 0.017131, -0.093012
2.183, 0, -0.086553
2.178, -0.017131, -0.098179
2.173, -0.034262, -0.149853
2.168, -0.045682, -0.161479
2.163, -0.068523, -0.148561
2.158, -0.079944, -0.196359
2.153, -0.097074, -0.215736
2.148, -0.108495, -0.201526
2.144, -0.131336, -0.214444
2.139, -0.142756, -0.257075
2.134, -0.159887, -0.257075
2.129, -0.177018, -0.24674
