TIME s, IN1, IN2
2.5, 1.010715, 1.096121
2.495, 0.999294, 2.167051
2.49, 0.976453, 2.572041
2.485, 0.965033, 2.923419
2.48, 0.947902, 3.042268
2.476, 0.930771, 3.218603
2.471, 0.913641, 3.248315
2.466, 0.90222, 3.33939
2.461, 0.885089, 3.396876
2.456, 0.862248, 3.365226
2.451, 0.850828, 3.471157
2.446, 0.833697, 3.424005
2.441, 0.822277, 3.451133
2.437, 0.805146, 3.452425
2.432, 0.788015, 3.42465
2.427, 0.770884, 3.447903
2.422, 0.759464, 3.380728
2.417, 0.742333, 3.430464
2.412, 0.730912, 3.376853
2.407, 0.713782, 3.347141
2.402, 0.696651, 3.361351
2.397, 0.67952, 3.292884
2.393, 0.6681, 3.305802
2.388, 0.650969, 3.236043
2.383, 0.639548, 3.243794
2.378, 0.616707, 3.205685
2.373, 0.599577, 3.133988
2.368, 0.588156, 3.168222
2.363, 0.571025, 3.092003
2.358, 0.553895, 3.073918
2.354, 0.536764, 3.034517
2.349, 0.525343, 3.007388
2.344, 0.513923, 2.984781
2.339, 0.496792, 2.907917
2.334, 0.479661, 2.9344
2.329, 0.462531, 2.864641
2.324, 0.4454, 2.823948
2.319, 0.433979, 2.812321
2.314, 0.416849, 2.760648
2.31, 0.405428, 2.7445
2.305, 0.382587, 2.674095
2.3, 0.371166, 2.685722
2.295, 0.354036, 2.630819
2.29, 0.336905, 2.571394
2.285, 0.319774, 2.581729
2.28, 0.302643, 2.513262
2.275, 0.291223, 2.495176
2.271, 0.274092, 2.444795
2.266, 0.256961, 2.422834
2.261, 0.245541, 2.394413
2.256, 0.22841, 2.32853
2.251, 0.21699, 2.345969
2.246, 0.194149, 2.282024
2.241, 0.182728, 2.251666
2.236, 0.165597, 2.220662
2.231, 0.148467, 2.183844
2.227, 0.137046, 2.163821
2.222, 0.119915, 2.101813
2.217, 0.102785, 2.108272
2.212, 0.085654, 2.059829
2.207, 0.074233, 2.01526
2.202, 0.057103, 2.012676
2.197, 0.039972, 1.95842
2.192, 0.022841, 1.939688
2.188, 0.011421, 1.889952
2.183, -0.00571, 1.879618
2.178, -0.017131, 1.845384
2.173, -0.034262, 1.793065
2.168, -0.051392, 1.799524
2.163, -0.068523, 1.747851
2.158, -0.079944, 1.72266
2.153, -0.097074, 1.690364
2.148, -0.108495, 1.666465
2.144, -0.125626, 1.637399
2.139, -0.142756, 1.586372
2.134, -0.159887, 1.595414
2.129, -0.177018, 1.549554
2.124, -0.188438, 1.50757
2.119, -0.205569, 1.500465
2.114, -0.21699, 1.464293
2.109, -0.23412, 1.437165
2.104, -0.251251, 1.394534
2.1, -0.262672, 1.395826
2.095, -0.279802, 1.357717
2.09, -0.302643, 1.310565
2.085, -0.314064, 1.316378
2.08, -0.331195, 1.276331
2.075, -0.348325, 1.247265
2.07, -0.365456, 1.218199
2.065, -0.376877, 1.207218
2.061, -0.394008, 1.173631
2.056, -0.405428, 1.133584
2.051, -0.422559, 1.140043
2.046, -0.43969, 1.100642
2.041, -0.45682, 1.070284
2.036, -0.468241, 1.054136
2.031, -0.485372, 1.030237
2.026, -0.496792, 1.0044
2.021, -0.513923, 0.968875
2.017, -0.531054, 0.968875
2.012, -0.548184, 0.936579
2.007, -0.559605, 0.9017
2.002, -0.576736, 0.899762
1.997, -0.593866, 0.87005
1.992, -0.610997, 0.843567
1.987, -0.628128, 0.815793
1.982, -0.639548, 0.809334
1.978, -0.650969, 0.780267
1.973, -0.6681, 0.747972
1.968, -0.68523, 0.750555
1.963, -0.696651, 0.722781
1.958, -0.719492, 0.69436
1.953, -0.730912, 0.677567
1.948, -0.748043, 0.666586
1.943, -0.759464, 0.636874
1.938, -0.782305, 0.608454
1.934, -0.793725, 0.611683
1.929, -0.810856, 0.583909
1.924, -0.822277, 0.55678
1.919, -0.845118, 0.549675
1.914, -0.856538, 0.530944
1.909, -0.873669, 0.503169
1.904, -0.8908, 0.481208
1.899, -0.90793, 0.481208
1.895, -0.919351, 0.454725
1.89, -0.936482, 0.425659
1.885, -0.953612, 0.428243
1.88, -0.965033, 0.408865
1.875, -0.982164, 0.378507
1.87, -0.999294, 0.364297
1.865, -1.005005, 0.362359
1.86, -1.027846, 0.330709
1.855, -1.044976, 0.310686
1.851, -1.056397, 0.31327
1.846, -1.073528, 0.295184
1.841, -1.096369, 0.26741
1.836, -1.107789, 0.259659
1.831, -1.12492, 0.253845
1.826, -1.13634, 0.222841
1.821, -1.147761, 0.207339
1.816, -1.164892, 0.211215
1.812, -1.182022, 0.185378
1.807, -1.199153, 0.164709
1.802, -1.216284, 0.164063
1.797, -1.227705, 0.151145
1.792, -1.244835, 0.125308
1.787, -1.261966, 0.113681
1.782, -1.273387, 0.116265
1.777, -1.290517, 0.087845
1.772, -1.301938, 0.072989
1.768, -1.319069, 0.074926
1.763, -1.34191, 0.062008
1.758, -1.35333, 0.038109
1.753, -1.370461, 0.030358
1.748, -1.387592, 0.032296
1.743, -1.399012, 0.00323
1.738, -1.416143, -0.007105
1.733, -1.433274, -0.002584
1.729, -1.444694, -0.020023
1.724, -1.467535, -0.038109
1.719, -1.478956, -0.040047
1.714, -1.496086, -0.045214
1.709, -1.507507, -0.071697
1.704, -1.530348, -0.079448
1.699, -1.536058, -0.07428
1.694, -1.553189, -0.095596
1.689, -1.57032, -0.107868
