TIME s, IN1, IN2
2.5, 1.010715, 1.217553
2.495, 0.993584, 2.34274
2.49, 0.976453, 2.670866
2.485, 0.965033, 2.862703
2.48, 0.942192, 3.019661
2.476, 0.930771, 3.045497
2.471, 0.913641, 3.102338
2.466, 0.90222, 3.082315
2.461, 0.885089, 3.113965
2.456, 0.862248, 3.088774
2.451, 0.850828, 3.038392
2.446, 0.833697, 3.060353
2.441, 0.822277, 2.998991
2.437, 0.805146, 2.967987
2.432, 0.788015, 2.924065
2.427, 0.776595, 2.897582
2.422, 0.759464, 2.849784
2.417, 0.742333, 2.777442
2.412, 0.730912, 2.77615
2.407, 0.708071, 2.706391
2.402, 0.696651, 2.650196
2.397, 0.67952, 2.614025
2.393, 0.6681, 2.563643
2.388, 0.656679, 2.510032
2.383, 0.639548, 2.438982
2.378, 0.622418, 2.425417
2.373, 0.605287, 2.35372
2.368, 0.588156, 2.289129
2.363, 0.571025, 2.264584
2.358, 0.553895, 2.198055
2.354, 0.536764, 2.148319
2.349, 0.525343, 2.088895
2.344, 0.513923, 2.054661
2.339, 0.496792, 1.993299
2.334, 0.485372, 1.931937
2.329, 0.468241, 1.909976
2.324, 0.4454, 1.844738
2.319, 0.433979, 1.791773
2.314, 0.416849, 1.744621
2.31, 0.399718, 1.704574
2.305, 0.382587, 1.646442
2.3, 0.371166, 1.590893
2.295, 0.354036, 1.565702
2.29, 0.336905, 1.509507
2.285, 0.325484, 1.457188
2.28, 0.302643, 1.421663
2.275, 0.291223, 1.37774
2.271, 0.274092, 1.324129
2.266, 0.262672, 1.272456
2.261, 0.245541, 1.251141
2.256, 0.22841, 1.196884
2.251, 0.211279, 1.150378
2.246, 0.199859, 1.121311
2.241, 0.188438, 1.08191
2.236, 0.171308, 1.030883
2.231, 0.154177, 0.99019
2.227, 0.137046, 0.970813
2.222, 0.119915, 0.91591
2.217, 0.102785, 0.873925
2.212, 0.085654, 0.855194
2.207, 0.074233, 0.815793
2.202, 0.057103, 0.769287
2.197, 0.045682, 0.741512
2.192, 0.028551, 0.720843
2.188, 0.011421, 0.665294
2.183, -0.00571, 0.63429
2.178, -0.017131, 0.620726
2.173, -0.034262, 0.581325
2.168, -0.051392, 0.543216
2.163, -0.068523, 0.522547
2.158, -0.079944, 0.503169
2.153, -0.097074, 0.454079
2.148, -0.108495, 0.428889
2.144, -0.125626, 0.42243
2.139, -0.142756, 0.37334
2.134, -0.159887, 0.353316
2.129, -0.177018, 0.337169
2.124, -0.188438, 0.31327
2.119, -0.205569, 0.28162
2.114, -0.2227, 0.260304
2.109, -0.23412, 0.254491
2.104, -0.251251, 0.211215
2.1, -0.274092, 0.194421
2.095, -0.285513, 0.187316
2.09, -0.302643, 0.160833
2.085, -0.319774, 0.138226
2.08, -0.331195, 0.124662
2.075, -0.348325, 0.116911
2.07, -0.365456, 0.080094
2.065, -0.382587, 0.067821
2.061, -0.399718, 0.067821
2.056, -0.411138, 0.035525
2.051, -0.422559, 0.022607
2.046, -0.43969, 0.015502
2.041, -0.45682, 0.007105
2.036, -0.473951, -0.022607
2.031, -0.491082, -0.030358
2.026, -0.502502, -0.024545
2.021, -0.519633, -0.061362
2.017, -0.531054, -0.067821
2.012, -0.548184, -0.066529
2.007, -0.559605, -0.078156
2.002, -0.582446, -0.097533
1.997, -0.599577, -0.102055
1.992, -0.610997, -0.099471
1.987, -0.628128, -0.130475
1.982, -0.639548, -0.134997
1.978, -0.662389, -0.128537
1.973, -0.67381, -0.145977
1.968, -0.690941, -0.158896
1.963, -0.702361, -0.159541
1.958, -0.719492, -0.156312
1.953, -0.730912, -0.182794
1.948, -0.753753, -0.185378
1.943, -0.765174, -0.173106
1.938, -0.782305, -0.201526
1.934, -0.799435, -0.202818
1.929, -0.816566, -0.199588
1.924, -0.827987, -0.20088
1.919, -0.845118, -0.217028
1.914, -0.862248, -0.21832
1.909, -0.873669, -0.207339
1.904, -0.89651, -0.235114
1.899, -0.90793, -0.234468
1.895, -0.919351, -0.226071
1.89, -0.936482, -0.238343
1.885, -0.959323, -0.245448
1.88, -0.970743, -0.242865
1.875, -0.987874, -0.237051
1.87, -0.999294, -0.26095
1.865, -1.010715, -0.259013
1.86, -1.033556, -0.244802
1.855, -1.050687, -0.268055
1.851, -1.062107, -0.268701
1.846, -1.079238, -0.263534
1.841, -1.096369, -0.260304
1.836, -1.107789, -0.27839
1.831, -1.12492, -0.277744
1.826, -1.142051, -0.262888
1.821, -1.153471, -0.287433
1.816, -1.170602, -0.286787
1.812, -1.182022, -0.275806
1.807, -1.204864, -0.282266
1.802, -1.221994, -0.291954
1.797, -1.233415, -0.286787
1.792, -1.250546, -0.279682
1.787, -1.261966, -0.302289
1.782, -1.279097, -0.300997
1.777, -1.296228, -0.286787
1.772, -1.313358, -0.300997
1.768, -1.324779, -0.304873
1.763, -1.34762, -0.297122
1.758, -1.364751, -0.2926
1.753, -1.376171, -0.312624
1.748, -1.393302, -0.308748
1.743, -1.404722, -0.293246
1.738, -1.416143, -0.315853
1.733, -1.438984, -0.314561
1.729, -1.450404, -0.305519
1.724, -1.467535, -0.306165
1.719, -1.478956, -0.317791
1.714, -1.496086, -0.313916
1.709, -1.513217, -0.302935
1.704, -1.530348, -0.324896
1.699, -1.541768, -0.323604
1.694, -1.558899, -0.309394
1.689, -1.57032, -0.317145
1.685, -1.593161, -0.326188
1.68, -1.610291, -0.318437
1.675, -1.621712, -0.311978
1.67, -1.638843, -0.332647
1.665, -1.650263, -0.329418
1.66, -1.667394, -0.314561
1.655, -1.684525, -0.334585
1.65, -1.695945, -0.333293
1.646, -1.713076, -0.323604
1.641, -1.730207, -0.322958
1.636, -1.741627, -0.334585
1.631, -1.764468, -0.332647
